"strain"	"strainID"	"isolation_source"	"source_type"	"sp_nov_min"	"sp_nov_max"	"ncbi_genome"	"Genus"	"Clade"
"Moraxella_caviae"	"CCUG 355"	"guinea pig pharynx"	"mammal"	22	37	"GCF_002014985.1_ASM201498v1_genomic.fna"	"Moraxella"	"M"
"Moraxella_cuniculi"	"DSM 21768"	"rabit oral mucosa"	"mammal"	22	37	"GCF_900156515.1_IMG-taxon_2681812931_annotated_assembly_genomic.fna"	"Moraxella"	"M"
"Moraxella_equi"	"NCTC 11012"	"equine eye"	"mammal"	35	37	"GCF_900453335.1_48853_C02_genomic.fna"	"Moraxella"	"M"
"Moraxella_lacunata"	"NBRC 102154"	"human conjunctivitis"	"mammal"	35	37	"GCF_001591245.1_ASM159124v1_genomic.fna"	"Moraxella"	"M"
"Moraxella_lincolnii"	"CCUG 9405"	"human nasal cavity"	"mammal"	28	37	"GCF_002014765.1_ASM201476v1_genomic.fna"	"Moraxella"	"P"
"Moraxella_nonliquefaciens"	"CCUG 348"	"human nasal cavity"	"mammal"	25	37	"GCF_001679005.1_ASM167900v1_genomic.fna"	"Moraxella"	"M"
"Moraxella_oblonga"	"NBRC 102422"	"sheep oral cavity"	"mammal"	35	37	"GCF_001598275.1_ASM159827v1_genomic.fna"	"Moraxella"	"M"
"Moraxella_osloensis"	"CCUG 350"	"human cerebrospinal fluid"	"mammal"	25	42	"GCF_001553955.1_ASM155395v1_genomic.fna"	"Moraxella"	"P"
"Moraxella_ovis"	"199/55"	"conjunctivitis"	"mammal"	25	37	"GCF_001636015.1_ASM163601v1_genomic.fna"	"Moraxella"	"M"
"Moraxella_pluranimalium"	"CCUG 54913"	"pig nasal cavity"	"mammal"	22	37	"GCF_002014825.1_ASM201482v1_genomic.fna"	"Moraxella"	"M"
"Moraxella_porci"	"DSM 25326"	"pig brain, meningitis"	"mammal"	22	42	"GCF_002014855.1_ASM201485v1_genomic.fna"	"Moraxella"	"M"
"Psychrobacter_aestuarii"	"JCM 16343"	"marine soil"	"marine"	4	37	""	"Psychrobacter"	"P"
"Psychrobacter_celer"	"DSMZ 23510"	"sea water"	"marine"	4	40	""	"Psychrobacter"	"P"
"Psychrobacter_ciconiae"	"DSMZ 28412"	"stork throat"	"bird"	10	40	""	"Psychrobacter"	"P"
"Psychrobacter_faecalis"	"-"	"polar bear feces"	"mammal"	4	36	""	"Psychrobacter"	"P"
"Psychrobacter_frigidicola"	"DSMZ 12411"	"ornithogenic soil"	"terrestrial"	0	22	""	"Psychrobacter"	"P"
"Psychrobacter_glacincola"	"DSMZ 12194"	"sea water"	"marine"	0	22	""	"Psychrobacter"	"P"
"Psychrobacter_immobilis"	"DSMZ 7229"	"frozen meat"	"food"	5	25	""	"Psychrobacter"	"P"
"Psychrobacter_lutiphocae"	"DSMZ 21542"	"seal feces"	"mammal"	10	37	""	"Psychrobacter"	"P"
"Psychrobacter_maritimus"	"DSMZ 15397"	"sea water"	"marine"	4	37	""	"Psychrobacter"	"P"
"Psychrobacter_namhaensis"	"DSMZ 16330"	"sea water"	"marine"	4	37	""	"Psychrobacter"	"P"
"Psychrobacter_okhotskensis"	"DSMZ 18357"	"sea water"	"marine"	0	35	""	"Psychrobacter"	"P"
"Psychrobacter_pacificensis"	"DSMZ 23406"	"sea water"	"marine"	4	38	""	"Psychrobacter"	"P"
"Psychrobacter_piscatorii"	"JCM 15603"	"food processing"	"food"	0	30	""	"Psychrobacter"	"P"
"Psychrobacter_sanguinis"	"DSMZ 23634"	"human blood"	"mammal"	4	37	""	"Psychrobacter"	"P"
"Psychrobacter_urativorans"	"DSMZ 14009"	"food processing"	"food"	4	27	""	"Psychrobacter"	"P"
"Pseudomonas_aeruginosa"	"PAO1"	"fresh water"	"terrestrial"	30	37	""	""	""
