"strainID"	"Genome.Length"	"GC"	"Coding.density"	"CDS.Number"	"rRNA.Number"	"tRNA.Number"	"tmRNA.Number"	"Number.of.Repeat.Regions"	"Completeness"	"Contamination"	"Strain.heterogeneity"	"Contig.Number"	"genus"
"Moraxella_lacunata"	2779086	44.1	86.43	2648	3	34	1	3	97.81	0.27	0	397	"Moraxella"
"Moraxella_lincolnii"	2076923	42.7	86.44	1781	3	43	1	0	94.79	0	0	29	"Moraxella"
"Moraxella_nonliquefaciens"	2279879	41.9	86.59	2113	3	43	1	0	96.85	0.62	0	37	"Moraxella"
"Moraxella_oblonga"	2425389	41	88.46	2366	3	38	1	5	96.75	0.64	0	107	"Moraxella"
"Moraxella_osloensis"	2649137	43.5	85.38	2324	12	47	1	2	99.71	0	0	5	"Moraxella"
"Moraxella_ovis"	2306095	45.3	87.53	2204	12	49	1	2	98.02	0.55	0	2	"Moraxella"
"Moraxella_pluranimalium"	2288711	45.8	87.41	2067	4	44	1	2	98.85	0.69	0	50	"Moraxella"
"Moraxella_porci"	2179000	46.6	87.42	1979	3	45	1	1	99.18	0.35	0	26	"Moraxella"
"Psychrobacter_aestuarii"	2796791	49.6	84.46	2347	15	47	1	1	100	0.82	0	3	"Psychrobacter"
"Psychrobacter_celer"	3018387	46.7	82.71	2477	3	44	1	0	99.63	0.62	0	68	"Psychrobacter"
"Psychrobacter_ciconiae"	2484492	45.7	85.72	2169	12	48	1	1	98.83	0.27	0	2	"Psychrobacter"
"Psychrobacter_faecalis"	3208354	43.5	82.18	2833	6	43	1	0	99.44	0.27	0	19	"Psychrobacter"
"Psychrobacter_frigidicola"	2859025	42.2	82.41	2386	9	46	1	0	99.6	1.28	0	2	"Psychrobacter"
"Psychrobacter_glacincola"	3247372	42.5	81.96	2648	6	44	1	0	100	0.37	100	117	"Psychrobacter"
"Psychrobacter_immobilis"	3244372	42.8	83.21	2677	7	43	1	1	100	0.55	0	52	"Psychrobacter"
"Psychrobacter_lutiphocae"	3211766	41.7	80.07	2602	12	53	1	9	99.66	0.17	33.33	7	"Psychrobacter"
"Psychrobacter_maritimus"	3176034	43.2	82.68	2594	4	42	1	0	99.54	0	0	28	"Psychrobacter"
"Psychrobacter_namhaensis"	2824481	44.9	83.03	2382	6	44	1	1	96.98	1.1	75	12	"Psychrobacter"
"Psychrobacter_okhotskensis"	3448994	43.4	82.82	2831	3	42	1	0	99.95	1.17	0	105	"Psychrobacter"
"Psychrobacter_pacificensis"	3165948	44	82.89	2763	9	47	1	1	100	1.65	71.43	44	"Psychrobacter"
"Psychrobacter_piscatorii"	3514485	43.4	83.86	2961	8	46	1	0	99.91	1.51	12.5	120	"Psychrobacter"
"Psychrobacter_sanguinis"	3072530	41.3	81.41	2485	3	46	1	0	99.79	0.6	50	180	"Psychrobacter"
"Psychrobacter_urativorans"	3458105	41.7	80.98	2811	5	41	1	1	99.68	1.61	0	75	"Psychrobacter"
