Compound	Type
malonic acid	dicarboxylic acid
mono methyl succinate	dicarboxylic acid
oxalic acid	dicarboxylic acid
sebacic acid	dicarboxylic acid
succinamic acid	dicarboxylic acid
succinic acid	dicarboxylic acid
a-hydroxy butyric acid	fatty acid
a-keto valeric acid	fatty acid
a-keto-butyric acid	fatty acid
b-hydroxy butyric acid	fatty acid
butyric acid	fatty acid
capric acid	fatty acid
d-amino valeric acid	fatty acid
propionic acid	fatty acid
y-amino butyric acid	fatty acid
y-hydroxy butyric acid	fatty acid
inulin	fiber
chondroitin sulfate C	glycosaminoglycan
a-methyl-D-galactoside	glycoside
amygdalin	glycoside
arbutin	glycoside
b-methyl-D-galactoside	glycoside
b-methyl-D-glucoside	glycoside
b-methyl-D-xyloside	glycoside
salicin	glycoside
glycolic acid	hydroxy acid
L-galactonic acid y lactone	hydroxy acid
a-hydroxy-glutaric acid y lactone	keto acid
a-keto-glutaric acid	keto acid
acetoacetic acid	keto acid
pyruvic acid	keto acid
"2,3-butanedione"	ketone
3-hydroxy 2-butanone	ketone
tween 20	nonionic surfactant
tween 40	nonionic surfactant
tween 80	nonionic surfactant
2-deoxy adenosine	nucleoside
adenosine	nucleotide
inosine	nucleotide
thymidine	nucleotide
uridine	nucleotide
5-keto-D-gluconic acid	organic acid
acetamide	organic acid
acetic acid	organic acid
caproic acid	organic acid
citraconic acid	organic acid
citric acid	organic acid
D-glucosaminic acid	organic acid
D-lactic acid methyl ester	organic acid
formic acid	organic acid
glyoxylic acid	organic acid
L-lactic acid	organic acid
m-tartaric Acid	organic acid
sorbic acid	organic acid
glycyl-L-aspartic acid	peptide
glycyl-l-glutamic acid	peptide
glycyl-l-proline	peptide
L-alanyl-glycine	peptide
gelatin	peptide
"1,2-propanediol"	polyol
"2,3-butanediol"	polyol
"D,L-a-glycerol-phosphate"	polyol
Glycerol	polyol
quinic acid	polyol
methyl pyruvate	pyruvic ester
"D,L-carnitine"	quaternary ammonium compound
N-acetyl-neuraminic acid	sialic acid
b-methyl-D-glucuronic acid	sugar acid
D-galactonic acid-y-lactone	sugar acid
D-galacturonic acid	sugar acid
D-glucouronic acid	sugar acid
melibionic acid	sugar acid
mucic acid	sugar acid
adonitol	sugar alcohol
D-arabitol	sugar alcohol
D-mannitol	sugar alcohol
D-sorbitol	sugar alcohol
dulcitol	sugar alcohol
i-erythritol	sugar alcohol
L-arabitol	sugar alcohol
lactitol	sugar alcohol
maltitol	sugar alcohol
N-acetyl-D-glucosaminitol	sugar alcohol
xylitol	sugar alcohol
N-acetyl-d-glucosamine	sugar amide
oxalomalic acid	tricarboxylic acid
tricarballylic acid	tricarboxylic acid
