"strainID"	"COG_category"	"frequency"
"P_faecalis_Iso-46"	"B, K"	0
"P_faecalis_PBFP-1"	"B, K"	0
"P_fjordensis_BSw21516B"	"B, K"	0
"P_fozii_NF23"	"B, K"	0
"P_frigidicola_ACAM304"	"B, K"	0
"P_frigidicola_ACAM309"	"B, K"	1
"P_fulvigenes_KC-40"	"B, K"	0
"P_glaciei_Blc20019"	"B, K"	0
"P_glacincola_1447"	"B, K"	0
"P_glacincola_ACAM483"	"B, K"	0
"P_immobilis_1159"	"B, K"	0
"P_immobilis_1184"	"B, K"	0
"P_immobilis_1347"	"B, K"	0
"P_immobilis_1555"	"B, K"	0
"P_immobilis_1617"	"B, K"	0
"P_immobilis_1745"	"B, K"	0
"P_immobilis_252"	"B, K"	0
"P_immobilis_A-11"	"B, K"	0
"P_immobilis_A-19"	"B, K"	0
"P_immobilis_A1007"	"B, K"	0
"P_immobilis_A1014"	"B, K"	0
"P_immobilis_A351"	"B, K"	0
"P_immobilis_A352"	"B, K"	0
"P_immobilis_Liston1000"	"B, K"	0
"P_immobilis_NC10"	"B, K"	0
"P_immobilis_NCIMB357"	"B, K"	0
"P_immobilis_NCIMB361"	"B, K"	0
"P_immobilis_NCIMB362"	"B, K"	0
"P_immobilis_S3"	"B, K"	0
"P_jeotgali_YKJ-103"	"B, K"	0
"P_luti_NF11"	"B, K"	0
"P_lutiphocae_IMMIBL-1110"	"B, K"	0
"P_marincola_KMM227"	"B, K"	0
"P_maritimus_Pi2-20"	"B, K"	0
"P_maritimus_Pi2-25"	"B, K"	0
"P_namhaensis_SW-242"	"B, K"	0
"P_nivimaris_88-2-7"	"B, K"	0
"P_oceani_4k5"	"B, K"	0
"P_okhotskensis_A1004"	"B, K"	0
"P_okhotskensis_MD17"	"B, K"	0
"P_pacificensis_NIBH-P2K6"	"B, K"	0
"P_phenylpyruvicus_ACAM535"	"B, K"	0
"P_piscatorii_T-3-2"	"B, K"	0
"P_priscuii_LFX-15B1"	"B, K"	0
"P_proteolyticus_116"	"B, K"	0
"P_pulmonis_ES2-W5a2"	"B, K"	0
"P_pulmonis_S-606"	"B, K"	0
"P_salsus_DD48"	"B, K"	0
"P_sanguinis_10070"	"B, K"	0
"P_sanguinis_13983"	"B, K"	0
"P_sanguinis_1501"	"B, K"	0
"P_sanguinis_92"	"B, K"	0
"P_sp_1044"	"B, K"	0
"P_sp_2pS"	"B, K"	0
"P_sp_72-O-c"	"B, K"	0
"P_sp_CMS30"	"B, K"	0
"P_sp_DD43"	"B, K"	0
"P_sp_H7-1"	"B, K"	0
"P_sp_H8-1"	"B, K"	0
"P_sp_HII-4"	"B, K"	0
"P_sp_IAM12030_72-O-c"	"B, K"	0
"P_sp_JCM18900"	"B, K"	0
"P_sp_JCM18902"	"B, K"	0
"P_sp_JCM18903"	"B, K"	0
"P_sp_NC44"	"B, K"	0
"P_sp_Pi2-1"	"B, K"	0
"P_sp_Pi2-51"	"B, K"	0
"P_sp_Pi2-52"	"B, K"	0
"P_submarinus_KMM225"	"B, K"	0
"P_urativorans_ACAM311"	"B, K"	0
"P_urativorans_ACAM534"	"B, K"	0
"P_vallis_CMS39"	"B, K"	0
"P_adeliensis_SJ14"	"B, Q"	2
"P_aestuarii_SC35"	"B, Q"	2
"P_alimentarius_JG100"	"B, Q"	1
"P_alimentarius_JG102"	"B, Q"	4
"P_aquaticus_CMS56"	"B, Q"	1
"P_aquimaris_SW-210"	"B, Q"	3
"P_arcticus_273-4"	"B, Q"	1
"P_arenosus_R7"	"B, Q"	2
"P_celer_SW-238"	"B, Q"	1
"P_cibarius_JG-219"	"B, Q"	2
"P_cibarius_JG-220"	"B, Q"	2
"P_ciconiae_176-10"	"B, Q"	1
"P_cryohalolentis_K5"	"B, Q"	1
"P_faecalis_Iso-46"	"B, Q"	1
"P_faecalis_PBFP-1"	"B, Q"	1
"P_fjordensis_BSw21516B"	"B, Q"	2
"P_fozii_NF23"	"B, Q"	4
"P_frigidicola_ACAM304"	"B, Q"	1
"P_frigidicola_ACAM309"	"B, Q"	2
"P_fulvigenes_KC-40"	"B, Q"	3
"P_glaciei_Blc20019"	"B, Q"	1
"P_glacincola_1447"	"B, Q"	2
"P_glacincola_ACAM483"	"B, Q"	1
"P_immobilis_1159"	"B, Q"	1
"P_immobilis_1184"	"B, Q"	1
"P_immobilis_1347"	"B, Q"	1
"P_immobilis_1555"	"B, Q"	2
"P_immobilis_1617"	"B, Q"	2
"P_immobilis_1745"	"B, Q"	2
"P_immobilis_252"	"B, Q"	1
"P_immobilis_A-11"	"B, Q"	1
"P_immobilis_A-19"	"B, Q"	2
"P_immobilis_A1007"	"B, Q"	1
"P_immobilis_A1014"	"B, Q"	1
"P_immobilis_A351"	"B, Q"	2
"P_immobilis_A352"	"B, Q"	2
"P_immobilis_Liston1000"	"B, Q"	1
"P_immobilis_NC10"	"B, Q"	1
"P_immobilis_NCIMB357"	"B, Q"	2
"P_immobilis_NCIMB361"	"B, Q"	2
"P_immobilis_NCIMB362"	"B, Q"	1
"P_immobilis_S3"	"B, Q"	3
"P_jeotgali_YKJ-103"	"B, Q"	2
"P_luti_NF11"	"B, Q"	2
"P_lutiphocae_IMMIBL-1110"	"B, Q"	2
"P_marincola_KMM227"	"B, Q"	2
"P_maritimus_Pi2-20"	"B, Q"	1
"P_maritimus_Pi2-25"	"B, Q"	2
"P_namhaensis_SW-242"	"B, Q"	1
"P_nivimaris_88-2-7"	"B, Q"	2
"P_oceani_4k5"	"B, Q"	2
"P_okhotskensis_A1004"	"B, Q"	1
"P_okhotskensis_MD17"	"B, Q"	1
"P_pacificensis_NIBH-P2K6"	"B, Q"	2
"P_phenylpyruvicus_ACAM535"	"B, Q"	1
"P_piscatorii_T-3-2"	"B, Q"	3
"P_priscuii_LFX-15B1"	"B, Q"	1
"P_proteolyticus_116"	"B, Q"	2
"P_pulmonis_ES2-W5a2"	"B, Q"	3
"P_pulmonis_S-606"	"B, Q"	2
"P_salsus_DD48"	"B, Q"	1
"P_sanguinis_10070"	"B, Q"	1
"P_sanguinis_13983"	"B, Q"	1
"P_sanguinis_1501"	"B, Q"	1
"P_sanguinis_92"	"B, Q"	1
"P_sp_1044"	"B, Q"	2
"P_sp_2pS"	"B, Q"	3
"P_sp_72-O-c"	"B, Q"	2
"P_sp_CMS30"	"B, Q"	2
"P_sp_DD43"	"B, Q"	1
"P_sp_H7-1"	"B, Q"	1
"P_sp_H8-1"	"B, Q"	2
"P_sp_HII-4"	"B, Q"	2
"P_sp_IAM12030_72-O-c"	"B, Q"	2
"P_sp_JCM18900"	"B, Q"	1
"P_sp_JCM18902"	"B, Q"	2
"P_sp_JCM18903"	"B, Q"	2
"P_sp_NC44"	"B, Q"	2
"P_sp_Pi2-1"	"B, Q"	1
"P_sp_Pi2-51"	"B, Q"	1
"P_sp_Pi2-52"	"B, Q"	1
"P_submarinus_KMM225"	"B, Q"	1
"P_urativorans_ACAM311"	"B, Q"	1
"P_urativorans_ACAM534"	"B, Q"	4
"P_vallis_CMS39"	"B, Q"	1
"P_adeliensis_SJ14"	"C"	175
"P_aestuarii_SC35"	"C"	149
"P_alimentarius_JG100"	"C"	181
"P_alimentarius_JG102"	"C"	180
"P_aquaticus_CMS56"	"C"	166
"P_aquimaris_SW-210"	"C"	186
"P_arcticus_273-4"	"C"	150
"P_arenosus_R7"	"C"	183
"P_celer_SW-238"	"C"	158
"P_cibarius_JG-219"	"C"	170
"P_cibarius_JG-220"	"C"	183
"P_ciconiae_176-10"	"C"	134
"P_cryohalolentis_K5"	"C"	171
"P_faecalis_Iso-46"	"C"	169
"P_faecalis_PBFP-1"	"C"	180
"P_fjordensis_BSw21516B"	"C"	177
"P_fozii_NF23"	"C"	183
"P_frigidicola_ACAM304"	"C"	159
"P_frigidicola_ACAM309"	"C"	150
"P_fulvigenes_KC-40"	"C"	193
"P_glaciei_Blc20019"	"C"	181
"P_glacincola_1447"	"C"	186
"P_glacincola_ACAM483"	"C"	165
"P_immobilis_1159"	"C"	187
"P_immobilis_1184"	"C"	169
"P_immobilis_1347"	"C"	171
"P_immobilis_1555"	"C"	185
"P_immobilis_1617"	"C"	185
"P_immobilis_1745"	"C"	178
"P_immobilis_252"	"C"	177
"P_immobilis_A-11"	"C"	168
"P_immobilis_A-19"	"C"	166
"P_immobilis_A1007"	"C"	180
"P_immobilis_A1014"	"C"	185
"P_immobilis_A351"	"C"	173
"P_immobilis_A352"	"C"	178
"P_immobilis_Liston1000"	"C"	182
"P_immobilis_NC10"	"C"	195
"P_immobilis_NCIMB357"	"C"	177
"P_immobilis_NCIMB361"	"C"	176
"P_immobilis_NCIMB362"	"C"	183
"P_immobilis_S3"	"C"	174
"P_jeotgali_YKJ-103"	"C"	184
"P_luti_NF11"	"C"	167
"P_lutiphocae_IMMIBL-1110"	"C"	171
"P_marincola_KMM227"	"C"	167
"P_maritimus_Pi2-20"	"C"	176
"P_maritimus_Pi2-25"	"C"	175
"P_namhaensis_SW-242"	"C"	151
"P_nivimaris_88-2-7"	"C"	181
"P_oceani_4k5"	"C"	166
"P_okhotskensis_A1004"	"C"	178
"P_okhotskensis_MD17"	"C"	181
"P_pacificensis_NIBH-P2K6"	"C"	171
"P_phenylpyruvicus_ACAM535"	"C"	172
"P_piscatorii_T-3-2"	"C"	181
"P_priscuii_LFX-15B1"	"C"	177
"P_proteolyticus_116"	"C"	167
"P_pulmonis_ES2-W5a2"	"C"	211
"P_pulmonis_S-606"	"C"	175
"P_salsus_DD48"	"C"	158
"P_sanguinis_10070"	"C"	173
"P_sanguinis_13983"	"C"	173
"P_sanguinis_1501"	"C"	170
"P_sanguinis_92"	"C"	172
"P_sp_1044"	"C"	173
"P_sp_2pS"	"C"	187
"P_sp_72-O-c"	"C"	175
"P_sp_CMS30"	"C"	176
"P_sp_DD43"	"C"	175
"P_sp_H7-1"	"C"	174
"P_sp_H8-1"	"C"	205
"P_sp_HII-4"	"C"	161
"P_sp_IAM12030_72-O-c"	"C"	176
"P_sp_JCM18900"	"C"	183
"P_sp_JCM18902"	"C"	176
"P_sp_JCM18903"	"C"	178
"P_sp_NC44"	"C"	170
"P_sp_Pi2-1"	"C"	170
"P_sp_Pi2-51"	"C"	175
"P_sp_Pi2-52"	"C"	176
"P_submarinus_KMM225"	"C"	167
"P_urativorans_ACAM311"	"C"	152
"P_urativorans_ACAM534"	"C"	178
"P_vallis_CMS39"	"C"	166
"P_adeliensis_SJ14"	"C, H"	2
"P_aestuarii_SC35"	"C, H"	2
"P_alimentarius_JG100"	"C, H"	1
"P_alimentarius_JG102"	"C, H"	1
"P_aquaticus_CMS56"	"C, H"	1
"P_aquimaris_SW-210"	"C, H"	2
"P_arcticus_273-4"	"C, H"	1
"P_arenosus_R7"	"C, H"	2
"P_celer_SW-238"	"C, H"	1
"P_cibarius_JG-219"	"C, H"	1
"P_cibarius_JG-220"	"C, H"	1
"P_ciconiae_176-10"	"C, H"	1
"P_cryohalolentis_K5"	"C, H"	1
"P_faecalis_Iso-46"	"C, H"	1
"P_faecalis_PBFP-1"	"C, H"	1
"P_fjordensis_BSw21516B"	"C, H"	1
"P_fozii_NF23"	"C, H"	2
"P_frigidicola_ACAM304"	"C, H"	1
"P_frigidicola_ACAM309"	"C, H"	1
"P_fulvigenes_KC-40"	"C, H"	2
"P_glaciei_Blc20019"	"C, H"	1
"P_glacincola_1447"	"C, H"	1
"P_glacincola_ACAM483"	"C, H"	1
"P_immobilis_1159"	"C, H"	1
"P_immobilis_1184"	"C, H"	1
"P_immobilis_1347"	"C, H"	1
"P_immobilis_1555"	"C, H"	1
"P_immobilis_1617"	"C, H"	1
"P_immobilis_1745"	"C, H"	1
"P_immobilis_252"	"C, H"	1
"P_immobilis_A-11"	"C, H"	1
"P_immobilis_A-19"	"C, H"	1
"P_immobilis_A1007"	"C, H"	1
"P_immobilis_A1014"	"C, H"	1
"P_immobilis_A351"	"C, H"	1
"P_immobilis_A352"	"C, H"	2
"P_immobilis_Liston1000"	"C, H"	2
"P_immobilis_NC10"	"C, H"	1
"P_immobilis_NCIMB357"	"C, H"	1
"P_immobilis_NCIMB361"	"C, H"	1
"P_immobilis_NCIMB362"	"C, H"	1
"P_immobilis_S3"	"C, H"	1
"P_jeotgali_YKJ-103"	"C, H"	1
"P_luti_NF11"	"C, H"	1
"P_lutiphocae_IMMIBL-1110"	"C, H"	3
"P_marincola_KMM227"	"C, H"	2
"P_maritimus_Pi2-20"	"C, H"	1
"P_maritimus_Pi2-25"	"C, H"	1
"P_namhaensis_SW-242"	"C, H"	1
"P_nivimaris_88-2-7"	"C, H"	1
"P_oceani_4k5"	"C, H"	1
"P_okhotskensis_A1004"	"C, H"	1
"P_okhotskensis_MD17"	"C, H"	1
"P_pacificensis_NIBH-P2K6"	"C, H"	1
"P_phenylpyruvicus_ACAM535"	"C, H"	2
"P_piscatorii_T-3-2"	"C, H"	1
"P_priscuii_LFX-15B1"	"C, H"	1
"P_proteolyticus_116"	"C, H"	2
"P_pulmonis_ES2-W5a2"	"C, H"	1
"P_pulmonis_S-606"	"C, H"	1
"P_salsus_DD48"	"C, H"	1
"P_sanguinis_10070"	"C, H"	1
"P_sanguinis_13983"	"C, H"	1
"P_sanguinis_1501"	"C, H"	1
"P_sanguinis_92"	"C, H"	1
"P_sp_1044"	"C, H"	1
"P_sp_2pS"	"C, H"	2
"P_sp_72-O-c"	"C, H"	1
"P_sp_CMS30"	"C, H"	1
"P_sp_DD43"	"C, H"	1
"P_sp_H7-1"	"C, H"	1
"P_sp_H8-1"	"C, H"	3
"P_sp_HII-4"	"C, H"	1
"P_sp_IAM12030_72-O-c"	"C, H"	1
"P_sp_JCM18900"	"C, H"	2
"P_sp_JCM18902"	"C, H"	3
"P_sp_JCM18903"	"C, H"	1
"P_sp_NC44"	"C, H"	1
"P_sp_Pi2-1"	"C, H"	1
"P_sp_Pi2-51"	"C, H"	1
"P_sp_Pi2-52"	"C, H"	1
"P_submarinus_KMM225"	"C, H"	1
"P_urativorans_ACAM311"	"C, H"	2
"P_urativorans_ACAM534"	"C, H"	1
"P_vallis_CMS39"	"C, H"	1
"P_adeliensis_SJ14"	"D"	23
"P_aestuarii_SC35"	"D"	21
"P_alimentarius_JG100"	"D"	23
"P_alimentarius_JG102"	"D"	22
"P_aquaticus_CMS56"	"D"	23
"P_aquimaris_SW-210"	"D"	23
"P_arcticus_273-4"	"D"	22
"P_arenosus_R7"	"D"	24
"P_celer_SW-238"	"D"	24
"P_cibarius_JG-219"	"D"	23
"P_cibarius_JG-220"	"D"	24
"P_ciconiae_176-10"	"D"	20
"P_cryohalolentis_K5"	"D"	23
"P_faecalis_Iso-46"	"D"	22
"P_faecalis_PBFP-1"	"D"	24
"P_fjordensis_BSw21516B"	"D"	20
"P_fozii_NF23"	"D"	21
"P_frigidicola_ACAM304"	"D"	22
"P_frigidicola_ACAM309"	"D"	22
"P_fulvigenes_KC-40"	"D"	23
"P_glaciei_Blc20019"	"D"	23
"P_glacincola_1447"	"D"	23
"P_glacincola_ACAM483"	"D"	23
"P_immobilis_1159"	"D"	24
"P_immobilis_1184"	"D"	23
"P_immobilis_1347"	"D"	23
"P_immobilis_1555"	"D"	23
"P_immobilis_1617"	"D"	23
"P_immobilis_1745"	"D"	23
"P_immobilis_252"	"D"	25
"P_immobilis_A-11"	"D"	25
"P_immobilis_A-19"	"D"	23
"P_immobilis_A1007"	"D"	25
"P_immobilis_A1014"	"D"	23
"P_immobilis_A351"	"D"	24
"P_immobilis_A352"	"D"	23
"P_immobilis_Liston1000"	"D"	24
"P_immobilis_NC10"	"D"	25
"P_immobilis_NCIMB357"	"D"	21
"P_immobilis_NCIMB361"	"D"	23
"P_immobilis_NCIMB362"	"D"	22
"P_immobilis_S3"	"D"	24
"P_jeotgali_YKJ-103"	"D"	23
"P_luti_NF11"	"D"	22
"P_lutiphocae_IMMIBL-1110"	"D"	22
"P_marincola_KMM227"	"D"	23
"P_maritimus_Pi2-20"	"D"	22
"P_maritimus_Pi2-25"	"D"	23
"P_namhaensis_SW-242"	"D"	21
"P_nivimaris_88-2-7"	"D"	23
"P_oceani_4k5"	"D"	26
"P_okhotskensis_A1004"	"D"	25
"P_okhotskensis_MD17"	"D"	25
"P_pacificensis_NIBH-P2K6"	"D"	26
"P_phenylpyruvicus_ACAM535"	"D"	24
"P_piscatorii_T-3-2"	"D"	23
"P_priscuii_LFX-15B1"	"D"	25
"P_proteolyticus_116"	"D"	23
"P_pulmonis_ES2-W5a2"	"D"	26
"P_pulmonis_S-606"	"D"	21
"P_salsus_DD48"	"D"	23
"P_sanguinis_10070"	"D"	24
"P_sanguinis_13983"	"D"	23
"P_sanguinis_1501"	"D"	22
"P_sanguinis_92"	"D"	24
"P_sp_1044"	"D"	24
"P_sp_2pS"	"D"	24
"P_sp_72-O-c"	"D"	24
"P_sp_CMS30"	"D"	23
"P_sp_DD43"	"D"	25
"P_sp_H7-1"	"D"	22
"P_sp_H8-1"	"D"	22
"P_sp_HII-4"	"D"	23
"P_sp_IAM12030_72-O-c"	"D"	24
"P_sp_JCM18900"	"D"	23
"P_sp_JCM18902"	"D"	23
"P_sp_JCM18903"	"D"	25
"P_sp_NC44"	"D"	22
"P_sp_Pi2-1"	"D"	22
"P_sp_Pi2-51"	"D"	23
"P_sp_Pi2-52"	"D"	21
"P_submarinus_KMM225"	"D"	24
"P_urativorans_ACAM311"	"D"	21
"P_urativorans_ACAM534"	"D"	24
"P_vallis_CMS39"	"D"	23
"P_adeliensis_SJ14"	"D, J"	0
"P_aestuarii_SC35"	"D, J"	0
"P_alimentarius_JG100"	"D, J"	1
"P_alimentarius_JG102"	"D, J"	1
"P_aquaticus_CMS56"	"D, J"	1
"P_aquimaris_SW-210"	"D, J"	0
"P_arcticus_273-4"	"D, J"	1
"P_arenosus_R7"	"D, J"	0
"P_celer_SW-238"	"D, J"	1
"P_cibarius_JG-219"	"D, J"	1
"P_cibarius_JG-220"	"D, J"	1
"P_ciconiae_176-10"	"D, J"	0
"P_cryohalolentis_K5"	"D, J"	1
"P_faecalis_Iso-46"	"D, J"	1
"P_faecalis_PBFP-1"	"D, J"	1
"P_fjordensis_BSw21516B"	"D, J"	0
"P_fozii_NF23"	"D, J"	0
"P_frigidicola_ACAM304"	"D, J"	0
"P_frigidicola_ACAM309"	"D, J"	0
"P_fulvigenes_KC-40"	"D, J"	0
"P_glaciei_Blc20019"	"D, J"	0
"P_glacincola_1447"	"D, J"	1
"P_glacincola_ACAM483"	"D, J"	1
"P_immobilis_1159"	"D, J"	0
"P_immobilis_1184"	"D, J"	1
"P_immobilis_1347"	"D, J"	1
"P_immobilis_1555"	"D, J"	0
"P_immobilis_1617"	"D, J"	0
"P_immobilis_1745"	"D, J"	0
"P_immobilis_252"	"D, J"	1
"P_immobilis_A-11"	"D, J"	1
"P_immobilis_A-19"	"D, J"	1
"P_immobilis_A1007"	"D, J"	2
"P_immobilis_A1014"	"D, J"	1
"P_immobilis_A351"	"D, J"	1
"P_immobilis_A352"	"D, J"	1
"P_immobilis_Liston1000"	"D, J"	0
"P_immobilis_NC10"	"D, J"	1
"P_immobilis_NCIMB357"	"D, J"	0
"P_immobilis_NCIMB361"	"D, J"	0
"P_immobilis_NCIMB362"	"D, J"	0
"P_immobilis_S3"	"D, J"	0
"P_jeotgali_YKJ-103"	"D, J"	3
"P_luti_NF11"	"D, J"	1
"P_lutiphocae_IMMIBL-1110"	"D, J"	0
"P_marincola_KMM227"	"D, J"	0
"P_maritimus_Pi2-20"	"D, J"	1
"P_maritimus_Pi2-25"	"D, J"	1
"P_namhaensis_SW-242"	"D, J"	0
"P_nivimaris_88-2-7"	"D, J"	0
"P_oceani_4k5"	"D, J"	2
"P_okhotskensis_A1004"	"D, J"	1
"P_okhotskensis_MD17"	"D, J"	1
"P_pacificensis_NIBH-P2K6"	"D, J"	3
"P_phenylpyruvicus_ACAM535"	"D, J"	0
"P_piscatorii_T-3-2"	"D, J"	1
"P_priscuii_LFX-15B1"	"D, J"	1
"P_proteolyticus_116"	"D, J"	0
"P_pulmonis_ES2-W5a2"	"D, J"	1
"P_pulmonis_S-606"	"D, J"	0
"P_salsus_DD48"	"D, J"	2
"P_sanguinis_10070"	"D, J"	0
"P_sanguinis_13983"	"D, J"	0
"P_sanguinis_1501"	"D, J"	0
"P_sanguinis_92"	"D, J"	0
"P_sp_1044"	"D, J"	0
"P_sp_2pS"	"D, J"	0
"P_sp_72-O-c"	"D, J"	1
"P_sp_CMS30"	"D, J"	1
"P_sp_DD43"	"D, J"	1
"P_sp_H7-1"	"D, J"	0
"P_sp_H8-1"	"D, J"	0
"P_sp_HII-4"	"D, J"	1
"P_sp_IAM12030_72-O-c"	"D, J"	1
"P_sp_JCM18900"	"D, J"	0
"P_sp_JCM18902"	"D, J"	0
"P_sp_JCM18903"	"D, J"	1
"P_sp_NC44"	"D, J"	1
"P_sp_Pi2-1"	"D, J"	1
"P_sp_Pi2-51"	"D, J"	1
"P_sp_Pi2-52"	"D, J"	0
"P_submarinus_KMM225"	"D, J"	1
"P_urativorans_ACAM311"	"D, J"	0
"P_urativorans_ACAM534"	"D, J"	1
"P_vallis_CMS39"	"D, J"	1
"P_adeliensis_SJ14"	"D, Z"	0
"P_aestuarii_SC35"	"D, Z"	0
"P_alimentarius_JG100"	"D, Z"	1
"P_alimentarius_JG102"	"D, Z"	1
"P_aquaticus_CMS56"	"D, Z"	0
"P_aquimaris_SW-210"	"D, Z"	0
"P_arcticus_273-4"	"D, Z"	0
"P_arenosus_R7"	"D, Z"	0
"P_celer_SW-238"	"D, Z"	0
"P_cibarius_JG-219"	"D, Z"	1
"P_cibarius_JG-220"	"D, Z"	1
"P_ciconiae_176-10"	"D, Z"	1
"P_cryohalolentis_K5"	"D, Z"	1
"P_faecalis_Iso-46"	"D, Z"	1
"P_faecalis_PBFP-1"	"D, Z"	1
"P_fjordensis_BSw21516B"	"D, Z"	3
"P_fozii_NF23"	"D, Z"	2
"P_frigidicola_ACAM304"	"D, Z"	2
"P_frigidicola_ACAM309"	"D, Z"	0
"P_fulvigenes_KC-40"	"D, Z"	1
"P_glaciei_Blc20019"	"D, Z"	0
"P_glacincola_1447"	"D, Z"	1
"P_glacincola_ACAM483"	"D, Z"	1
"P_immobilis_1159"	"D, Z"	0
"P_immobilis_1184"	"D, Z"	1
"P_immobilis_1347"	"D, Z"	0
"P_immobilis_1555"	"D, Z"	1
"P_immobilis_1617"	"D, Z"	1
"P_immobilis_1745"	"D, Z"	1
"P_immobilis_252"	"D, Z"	1
"P_immobilis_A-11"	"D, Z"	0
"P_immobilis_A-19"	"D, Z"	1
"P_immobilis_A1007"	"D, Z"	1
"P_immobilis_A1014"	"D, Z"	2
"P_immobilis_A351"	"D, Z"	1
"P_immobilis_A352"	"D, Z"	0
"P_immobilis_Liston1000"	"D, Z"	0
"P_immobilis_NC10"	"D, Z"	0
"P_immobilis_NCIMB357"	"D, Z"	1
"P_immobilis_NCIMB361"	"D, Z"	1
"P_immobilis_NCIMB362"	"D, Z"	1
"P_immobilis_S3"	"D, Z"	0
"P_jeotgali_YKJ-103"	"D, Z"	0
"P_luti_NF11"	"D, Z"	0
"P_lutiphocae_IMMIBL-1110"	"D, Z"	0
"P_marincola_KMM227"	"D, Z"	0
"P_maritimus_Pi2-20"	"D, Z"	1
"P_maritimus_Pi2-25"	"D, Z"	0
"P_namhaensis_SW-242"	"D, Z"	1
"P_nivimaris_88-2-7"	"D, Z"	1
"P_oceani_4k5"	"D, Z"	0
"P_okhotskensis_A1004"	"D, Z"	0
"P_okhotskensis_MD17"	"D, Z"	1
"P_pacificensis_NIBH-P2K6"	"D, Z"	0
"P_phenylpyruvicus_ACAM535"	"D, Z"	0
"P_piscatorii_T-3-2"	"D, Z"	0
