DATASET_HEATMAP
SEPARATOR SPACE
DATASET_LABEL salt
COLOR #ff0000
FIELD_LABELS 0 2.5 5 10
P_nivimaris_88-2-7 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333
P_oceani_4k5 0.333333333333333 0.5 0.5 0.166666666666667
P_okhotskensis_A1004 0.333333333333333 0.333333333333333 0.333333333333333 0.166666666666667
P_okhotskensis_MD17 0.416666666666667 0.416666666666667 0.333333333333333 0.166666666666667
P_pacificensis_NIBH-P2K6 0.333333333333333 0.333333333333333 0.416666666666667 0.0833333333333333
P_phenylpyruvicus_ACAM535 0.666666666666667 0.666666666666667 0.333333333333333 0
P_piscatorii_T-3-2 0.5 0.666666666666667 0.333333333333333 0.333333333333333
P_priscuii_LFX-15B1 0.666666666666667 0.666666666666667 0.833333333333333 0
P_proteolyticus_116 0.666666666666667 0.666666666666667 0.666666666666667 0.333333333333333
P_pulmonis_ES2-W5a2 0.666666666666667 1 0.5 0.333333333333333
P_pulmonis_S-606 0.666666666666667 0.833333333333333 0.5 0.333333333333333
P_salsus_DD48 0 0.5 0.333333333333333 0
P_sanguinis_10070 0.833333333333333 0.666666666666667 0.333333333333333 0
P_sanguinis_13983 0.833333333333333 0.666666666666667 0.333333333333333 0
P_sanguinis_1501 0.5 0.5 0.333333333333333 0
P_sanguinis_92 0.833333333333333 0.5 0.333333333333333 0
P_sp_1044 0.666666666666667 0.666666666666667 0.333333333333333 0.166666666666667
P_sp_2pS 0.666666666666667 0.666666666666667 0.666666666666667 0.5
P_sp_72-O-c 0 0.166666666666667 0.166666666666667 0
P_sp_CMS30 0.666666666666667 0.833333333333333 0.666666666666667 0.166666666666667
P_sp_DD43 0.666666666666667 0.333333333333333 0.166666666666667 0
P_sp_H7-1 0.666666666666667 0.5 0.5 0
P_sp_H8-1 0.333333333333333 0.416666666666667 0.333333333333333 0.0833333333333333
P_sp_HII-4 0.333333333333333 0.833333333333333 0.5 0.166666666666667
P_sp_IAM12030-72-O-c 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667
P_sp_JCM18900 0.666666666666667 0.666666666666667 0.666666666666667 0.5
P_sp_JCM18902 0.666666666666667 0.5 0.333333333333333 0
P_sp_JCM18903 0.5 0.5 0.333333333333333 0.166666666666667
P_sp_NC44 0.666666666666667 0.666666666666667 0.333333333333333 0.166666666666667
P_sp_Pi2-1 0.166666666666667 0.333333333333333 0.333333333333333 0.333333333333333
P_sp_Pi2-51 0.666666666666667 0.666666666666667 0.666666666666667 0.333333333333333
P_sp_Pi2-52 0.5 0.333333333333333 0.333333333333333 0.333333333333333
P_submarinus_KMM225 0 0 0.166666666666667 0
P_urativorans_ACAM311 0 0.166666666666667 0.166666666666667 0
P_urativorans_ACAM534 0.5 0.333333333333333 0 0
P_vallis_CMS39 0.666666666666667 0.666666666666667 0.666666666666667 0
