"strainID"	"COG_category"	"frequency"	"frequency_w_multiCOG_proteins"	"corrected_frequency"	"ecotype_rev"	"GeneNumber"	"finalCOGproportion"
"pulmonis_088"	"A"	1	0	1	"flexible"	2445	0.000408997955010225
"pulmonis_089"	"A"	1	0	1	"flexible"	2864	0.000349162011173184
"salsus_033"	"A"	1	0	1	"restricted"	2417	0.000413736036408771
"sanguinis_017"	"A"	1	0	1	"flexible"	2483	0.000402738622633911
"sanguinis_091"	"A"	1	0	1	"flexible"	2574	0.000388500388500389
"sanguinis_092"	"A"	1	0	1	"flexible"	2639	0.000378931413414172
"sanguinis_093"	"A"	1	0	1	"flexible"	2564	0.000390015600624025
"sp1044_082"	"A"	3	0	3	"restricted"	2798	0.00107219442458899
"sp2ps_018"	"A"	2	0	2	"restricted"	2800	0.000714285714285714
"spCMS30_034"	"A"	1	0	1	"flexible"	2604	0.000384024577572965
"spDD43_036"	"A"	1	0	1	"restricted"	2513	0.000397930760047752
"spH71_040"	"A"	1	0	1	"flexible"	2612	0.000382848392036753
"spH81_042"	"A"	1	0	1	"restricted"	2832	0.000353107344632768
"spHII4_041"	"A"	1	0	1	"flexible"	2717	0.000368052999631947
"spIAM12030_053"	"A"	1	0	1	"restricted"	2669	0.000374672161858374
"spJCM18900_049"	"A"	1	0	1	"restricted"	2671	0.000374391613627855
"spJCM18902_051"	"A"	2	0	2	"restricted"	2721	0.000735023888276369
"spJCM18903_052"	"A"	2	0	2	"restricted"	2871	0.000696621386276559
"spNC44_083"	"A"	2	0	2	"restricted"	2689	0.000743770918557084
"spPi21_038"	"A"	1	0	1	"restricted"	2591	0.000385951370127364
"spPi251_037"	"A"	1	0	1	"restricted"	2736	0.000365497076023392
"spPi252_039"	"A"	1	0	1	"restricted"	2671	0.000374391613627855
"submarinus_043"	"A"	1	0	1	"restricted"	2555	0.000391389432485323
"urativorans_019"	"A"	2	0	2	"restricted"	2811	0.000711490572749911
"urativorans_084"	"A"	1	0	1	"restricted"	2276	0.000439367311072056
"vallis_020"	"A"	2	0	2	"restricted"	2678	0.000746825989544436
"adeliensis_001"	"C"	175	2	177	"restricted"	2572	0.0688180404354588
"aestuarii_044"	"C"	148	2	150	"flexible"	2353	0.0637484062898428
"alimentarius_002"	"C"	180	1	181	"restricted"	2806	0.0645046329294369
"alimentarius_024"	"C"	179	1	180	"restricted"	2795	0.0644007155635063
"aquaticus_003"	"C"	165	1	166	"restricted"	2698	0.061527057079318
"aquimaris_025"	"C"	186	2	188	"restricted"	2937	0.0640108954715696
"arcticus_004"	"C"	150	1	151	"restricted"	2165	0.0697459584295612
"arenosus_005"	"C"	183	2	185	"flexible"	2930	0.0631399317406143
"celer_006"	"C"	158	1	159	"flexible"	2477	0.0641905530884134
"cibarius_007"	"C"	170	1	171	"restricted"	2653	0.0644553335846212
"cibarius_026"	"C"	182	1	183	"restricted"	2973	0.0615539858728557
"ciconiae_008"	"C"	134	1	135	"flexible"	2167	0.0622981079833872
"cryohalolentis_009"	"C"	171	1	172	"restricted"	2493	0.0689931809065383
"faecalis_023"	"C"	177	1	178	"flexible"	2677	0.0664923421740755
"faecalis_087"	"C"	169	1	170	"flexible"	2548	0.0667189952904239
"fjordensis_054"	"C"	182	1	183	"restricted"	2796	0.065450643776824
"fozii_021"	"C"	182	2	184	"flexible"	2846	0.0646521433591005
"frigidicola_010"	"C"	159	1	160	"restricted"	2385	0.0670859538784067
"frigidicola_056"	"C"	150	1	151	"restricted"	2327	0.0648904168457241
"fulvigenes_045"	"C"	193	2	195	"flexible"	2995	0.0651085141903172
"glaciei_055"	"C"	181	1	182	"restricted"	2772	0.0656565656565657
"glacincola_011"	"C"	165	1	166	"restricted"	2645	0.0627599243856333
"glacincola_057"	"C"	188	1	189	"restricted"	2878	0.0656706045865184
"immobilis_012"	"C"	173	1	174	"restricted"	2676	0.0650224215246637
"immobilis_058"	"C"	180	1	181	"restricted"	2978	0.0607790463398254
"immobilis_059"	"C"	185	1	186	"restricted"	2914	0.0638297872340425
"immobilis_060"	"C"	182	2	184	"restricted"	2664	0.0690690690690691
"immobilis_061"	"C"	185	1	186	"restricted"	2889	0.0643821391484943
"immobilis_062"	"C"	178	1	179	"restricted"	2607	0.0686612965093978
"immobilis_063"	"C"	196	1	197	"restricted"	2914	0.0676046671242279
"immobilis_064"	"C"	177	1	178	"restricted"	2753	0.0646567381038867
"immobilis_065"	"C"	187	1	188	"restricted"	2897	0.0648947186744909
"immobilis_066"	"C"	168	1	169	"restricted"	2792	0.0605300859598854
"immobilis_067"	"C"	171	1	172	"restricted"	2508	0.0685805422647528
"immobilis_068"	"C"	185	1	186	"restricted"	2910	0.0639175257731959
"immobilis_069"	"C"	177	1	178	"restricted"	2844	0.0625879043600563
"immobilis_070"	"C"	176	1	177	"restricted"	2894	0.0611610228058051
"immobilis_071"	"C"	183	1	184	"flexible"	2626	0.0700685453160701
"immobilis_072"	"C"	168	1	169	"restricted"	2591	0.0652257815515245
"immobilis_073"	"C"	169	1	170	"restricted"	2774	0.0612833453496756
"immobilis_074"	"C"	178	2	180	"restricted"	2761	0.0651937703730532
"immobilis_075"	"C"	174	1	175	"restricted"	2708	0.0646233382570162
"immobilis_076"	"C"	175	1	176	"restricted"	2612	0.0673813169984686
"jeotgali_027"	"C"	184	1	185	"flexible"	2618	0.0706646294881589
"luti_022"	"C"	167	1	168	"restricted"	2431	0.0691073632250103
"lutiphocae_013"	"C"	171	3	174	"flexible"	2582	0.0673896204492641
"marincola_014"	"C"	167	2	169	"restricted"	2526	0.0669041963578781
"maritimus_015"	"C"	175	1	176	"flexible"	2591	0.0679274411424161
"maritimus_028"	"C"	176	1	177	"flexible"	2594	0.0682343870470316
"namhaensis_029"	"C"	157	1	158	"restricted"	2451	0.0644634842921257
"nivimaris_030"	"C"	180	1	181	"restricted"	2809	0.064435742257031
"oceani_047"	"C"	166	1	167	"flexible"	2513	0.0664544369279745
"okhotskensis_031"	"C"	181	1	182	"restricted"	2830	0.0643109540636042
"okhotskensis_080"	"C"	178	1	179	"restricted"	2832	0.0632062146892655
"pacificensis_032"	"C"	169	1	170	"flexible"	2737	0.062111801242236
"phenylpyruvicus_090"	"C"	172	2	174	"flexible"	2721	0.0639470782800441
"piscatorii_048"	"C"	181	1	182	"flexible"	2961	0.0614657210401891
"priscuii_086"	"C"	177	1	178	"flexible"	2528	0.0704113924050633
"proteolyticus_016"	"C"	166	2	168	"restricted"	2503	0.0671194566520176
"pulmonis_088"	"C"	174	1	175	"flexible"	2445	0.0715746421267894
"pulmonis_089"	"C"	203	1	204	"flexible"	2864	0.0712290502793296
"salsus_033"	"C"	158	1	159	"restricted"	2417	0.0657840297889946
"sanguinis_017"	"C"	170	1	171	"flexible"	2483	0.0688683044703987
"sanguinis_091"	"C"	173	1	174	"flexible"	2574	0.0675990675990676
"sanguinis_092"	"C"	172	1	173	"flexible"	2639	0.0655551345206518
"sanguinis_093"	"C"	173	1	174	"flexible"	2564	0.0678627145085803
"sp1044_082"	"C"	173	1	174	"restricted"	2798	0.0621872766261615
"sp2ps_018"	"C"	187	2	189	"restricted"	2800	0.0675
"spCMS30_034"	"C"	179	1	180	"flexible"	2604	0.0691244239631336
"spDD43_036"	"C"	175	1	176	"restricted"	2513	0.0700358137684043
"spH71_040"	"C"	174	1	175	"flexible"	2612	0.0669984686064319
"spH81_042"	"C"	210	3	213	"restricted"	2832	0.0752118644067797
"spHII4_041"	"C"	161	1	162	"flexible"	2717	0.0596245859403754
"spIAM12030_053"	"C"	176	1	177	"restricted"	2669	0.0663169726489322
"spJCM18900_049"	"C"	182	2	184	"restricted"	2671	0.0688880569075253
"spJCM18902_051"	"C"	176	3	179	"restricted"	2721	0.065784638000735
"spJCM18903_052"	"C"	178	1	179	"restricted"	2871	0.062347614071752
"spNC44_083"	"C"	170	1	171	"restricted"	2689	0.0635924135366307
"spPi21_038"	"C"	169	1	170	"restricted"	2591	0.0656117329216519
"spPi251_037"	"C"	175	1	176	"restricted"	2736	0.064327485380117
"spPi252_039"	"C"	174	1	175	"restricted"	2671	0.0655185323848746
"submarinus_043"	"C"	165	1	166	"restricted"	2555	0.0649706457925636
"urativorans_019"	"C"	178	1	179	"restricted"	2811	0.063678406261117
"urativorans_084"	"C"	152	2	154	"restricted"	2276	0.0676625659050967
"vallis_020"	"C"	165	1	166	"restricted"	2678	0.0619865571321882
"adeliensis_001"	"D"	22	0	22	"restricted"	2572	0.00855365474339036
"aestuarii_044"	"D"	21	0	21	"flexible"	2353	0.00892477688057799
"alimentarius_002"	"D"	23	2	25	"restricted"	2806	0.00890947968638632
"alimentarius_024"	"D"	22	2	24	"restricted"	2795	0.00858676207513417
"aquaticus_003"	"D"	23	1	24	"restricted"	2698	0.00889547813194959
"aquimaris_025"	"D"	23	0	23	"restricted"	2937	0.00783112019067075
"arcticus_004"	"D"	22	1	23	"restricted"	2165	0.0106235565819861
"arenosus_005"	"D"	24	0	24	"flexible"	2930	0.00819112627986348
"celer_006"	"D"	24	1	25	"flexible"	2477	0.0100928542591845
"cibarius_007"	"D"	23	2	25	"restricted"	2653	0.00942329438371655
"cibarius_026"	"D"	23	2	25	"restricted"	2973	0.00840901446350488
"ciconiae_008"	"D"	20	1	21	"flexible"	2167	0.00969081679741578
"cryohalolentis_009"	"D"	23	2	25	"restricted"	2493	0.0100280786201364
"faecalis_023"	"D"	22	2	24	"flexible"	2677	0.00896525961897647
"faecalis_087"	"D"	22	2	24	"flexible"	2548	0.00941915227629513
"fjordensis_054"	"D"	20	3	23	"restricted"	2796	0.00822603719599428
"fozii_021"	"D"	21	2	23	"flexible"	2846	0.00808151791988756
"frigidicola_010"	"D"	22	2	24	"restricted"	2385	0.010062893081761
"frigidicola_056"	"D"	22	0	22	"restricted"	2327	0.00945423291792007
"fulvigenes_045"	"D"	24	1	25	"flexible"	2995	0.00834724540901502
"glaciei_055"	"D"	23	0	23	"restricted"	2772	0.0082972582972583
"glacincola_011"	"D"	23	2	25	"restricted"	2645	0.00945179584120983
"glacincola_057"	"D"	23	2	25	"restricted"	2878	0.00868658790826963
"immobilis_012"	"D"	24	2	26	"restricted"	2676	0.00971599402092676
"immobilis_058"	"D"	25	3	28	"restricted"	2978	0.0094022834116857
"immobilis_059"	"D"	23	1	24	"restricted"	2914	0.00823610157858614
"immobilis_060"	"D"	24	0	24	"restricted"	2664	0.00900900900900901
"immobilis_061"	"D"	23	1	24	"restricted"	2889	0.0083073727933541
"immobilis_062"	"D"	23	1	24	"restricted"	2607	0.00920598388952819
"immobilis_063"	"D"	25	1	26	"restricted"	2914	0.00892244337680165
"immobilis_064"	"D"	25	2	27	"restricted"	2753	0.00980748274609517
"immobilis_065"	"D"	23	0	23	"restricted"	2897	0.00793924749741112
"immobilis_066"	"D"	23	2	25	"restricted"	2792	0.0089541547277937
"immobilis_067"	"D"	23	1	24	"restricted"	2508	0.00956937799043062
"immobilis_068"	"D"	23	3	26	"restricted"	2910	0.00893470790378007
"immobilis_069"	"D"	21	1	22	"restricted"	2844	0.00773558368495077
"immobilis_070"	"D"	23	1	24	"restricted"	2894	0.0082930200414651
"immobilis_071"	"D"	22	1	23	"flexible"	2626	0.00875856816450876
"immobilis_072"	"D"	25	1	26	"restricted"	2591	0.0100347356233115
"immobilis_073"	"D"	23	2	25	"restricted"	2774	0.00901225666906993
"immobilis_074"	"D"	23	1	24	"restricted"	2761	0.0086925027164071
"immobilis_075"	"D"	24	0	24	"restricted"	2708	0.00886262924667651
"immobilis_076"	"D"	24	1	25	"restricted"	2612	0.00957120980091884
"jeotgali_027"	"D"	23	3	26	"flexible"	2618	0.00993124522536287
"luti_022"	"D"	22	1	23	"restricted"	2431	0.00946112710818593
"lutiphocae_013"	"D"	22	0	22	"flexible"	2582	0.00852052672347018
"marincola_014"	"D"	23	0	23	"restricted"	2526	0.00910530482977039
"maritimus_015"	"D"	23	1	24	"flexible"	2591	0.00926283288305673
"maritimus_028"	"D"	22	2	24	"flexible"	2594	0.00925212027756361
"namhaensis_029"	"D"	23	1	24	"restricted"	2451	0.00979192166462668
"nivimaris_030"	"D"	23	1	24	"restricted"	2809	0.0085439658241367
"oceani_047"	"D"	26	2	28	"flexible"	2513	0.011142061281337
"okhotskensis_031"	"D"	25	2	27	"restricted"	2830	0.00954063604240283
"okhotskensis_080"	"D"	25	1	26	"restricted"	2832	0.00918079096045198
"pacificensis_032"	"D"	25	2	27	"flexible"	2737	0.00986481549141396
"phenylpyruvicus_090"	"D"	24	0	24	"flexible"	2721	0.00882028665931643
"piscatorii_048"	"D"	23	1	24	"flexible"	2961	0.00810536980749747
"priscuii_086"	"D"	25	2	27	"flexible"	2528	0.0106803797468354
"proteolyticus_016"	"D"	23	0	23	"restricted"	2503	0.00918897323212145
"pulmonis_088"	"D"	21	1	22	"flexible"	2445	0.00899795501022495
"pulmonis_089"	"D"	26	3	29	"flexible"	2864	0.0101256983240223
"salsus_033"	"D"	23	2	25	"restricted"	2417	0.0103434009102193
"sanguinis_017"	"D"	22	0	22	"flexible"	2483	0.00886024969794603
"sanguinis_091"	"D"	23	0	23	"flexible"	2574	0.00893550893550894
"sanguinis_092"	"D"	24	0	24	"flexible"	2639	0.00909435392194013
"sanguinis_093"	"D"	24	0	24	"flexible"	2564	0.0093603744149766
"sp1044_082"	"D"	24	1	25	"restricted"	2798	0.0089349535382416
"sp2ps_018"	"D"	24	0	24	"restricted"	2800	0.00857142857142857
"spCMS30_034"	"D"	23	1	24	"flexible"	2604	0.00921658986175115
"spDD43_036"	"D"	25	2	27	"restricted"	2513	0.0107441305212893
"spH71_040"	"D"	22	0	22	"flexible"	2612	0.00842266462480858
"spH81_042"	"D"	22	0	22	"restricted"	2832	0.0077683615819209
"spHII4_041"	"D"	23	1	24	"flexible"	2717	0.00883327199116673
"spIAM12030_053"	"D"	24	1	25	"restricted"	2669	0.00936680404645935
"spJCM18900_049"	"D"	23	0	23	"restricted"	2671	0.00861100711344066
"spJCM18902_051"	"D"	23	1	24	"restricted"	2721	0.00882028665931643
"spJCM18903_052"	"D"	25	2	27	"restricted"	2871	0.00940438871473354
"spNC44_083"	"D"	22	2	24	"restricted"	2689	0.00892525102268501
"spPi21_038"	"D"	22	1	23	"restricted"	2591	0.00887688151292937
"spPi251_037"	"D"	23	1	24	"restricted"	2736	0.0087719298245614
"spPi252_039"	"D"	21	0	21	"restricted"	2671	0.00786222388618495
"submarinus_043"	"D"	24	1	25	"restricted"	2555	0.00978473581213307
"urativorans_019"	"D"	24	1	25	"restricted"	2811	0.00889363215937389
"urativorans_084"	"D"	21	0	21	"restricted"	2276	0.00922671353251318
"vallis_020"	"D"	23	3	26	"restricted"	2678	0.00970873786407767
"adeliensis_001"	"E"	198	7	205	"restricted"	2572	0.0797045101088647
"aestuarii_044"	"E"	178	7	185	"flexible"	2353	0.0786230344241394
"alimentarius_002"	"E"	195	12	207	"restricted"	2806	0.0737704918032787
"alimentarius_024"	"E"	203	13	216	"restricted"	2795	0.0772808586762075
"aquaticus_003"	"E"	177	8	185	"restricted"	2698	0.0685693106004448
"aquimaris_025"	"E"	196	9	205	"restricted"	2937	0.069799114742935
"arcticus_004"	"E"	146	6	152	"restricted"	2165	0.0702078521939954
"arenosus_005"	"E"	199	9	208	"flexible"	2930	0.0709897610921502
"celer_006"	"E"	167	7	174	"flexible"	2477	0.0702462656439241
"cibarius_007"	"E"	186	7	193	"restricted"	2653	0.0727478326422917
"cibarius_026"	"E"	205	8	213	"restricted"	2973	0.0716448032290616
"ciconiae_008"	"E"	142	2	144	"flexible"	2167	0.0664513151822796
"cryohalolentis_009"	"E"	196	7	203	"restricted"	2493	0.0814279983955074
"faecalis_023"	"E"	175	7	182	"flexible"	2677	0.0679865521105715
"faecalis_087"	"E"	170	8	178	"flexible"	2548	0.0698587127158556
"fjordensis_054"	"E"	209	10	219	"restricted"	2796	0.0783261802575107
"fozii_021"	"E"	217	10	227	"flexible"	2846	0.0797610681658468
"frigidicola_010"	"E"	158	3	161	"restricted"	2385	0.0675052410901467
"frigidicola_056"	"E"	159	4	163	"restricted"	2327	0.0700472711645896
"fulvigenes_045"	"E"	191	7	198	"flexible"	2995	0.066110183639399
"glaciei_055"	"E"	209	10	219	"restricted"	2772	0.079004329004329
"glacincola_011"	"E"	165	5	170	"restricted"	2645	0.0642722117202268
"glacincola_057"	"E"	199	8	207	"restricted"	2878	0.0719249478804725
"immobilis_012"	"E"	188	7	195	"restricted"	2676	0.0728699551569507
"immobilis_058"	"E"	186	7	193	"restricted"	2978	0.064808596373405
"immobilis_059"	"E"	196	7	203	"restricted"	2914	0.0696636925188744
"immobilis_060"	"E"	194	8	202	"restricted"	2664	0.0758258258258258
"immobilis_061"	"E"	196	7	203	"restricted"	2889	0.0702665282104534
"immobilis_062"	"E"	192	8	200	"restricted"	2607	0.0767165324127349
"immobilis_063"	"E"	197	9	206	"restricted"	2914	0.0706932052161977
"immobilis_064"	"E"	185	7	192	"restricted"	2753	0.0697420995277879
"immobilis_065"	"E"	189	8	197	"restricted"	2897	0.0680013807386952
"immobilis_066"	"E"	180	6	186	"restricted"	2792	0.0666189111747851
"immobilis_067"	"E"	166	4	170	"restricted"	2508	0.0677830940988836
"immobilis_068"	"E"	189	8	197	"restricted"	2910	0.0676975945017182
"immobilis_069"	"E"	188	7	195	"restricted"	2844	0.0685654008438819
"immobilis_070"	"E"	189	7	196	"restricted"	2894	0.0677263303386317
"immobilis_071"	"E"	182	7	189	"flexible"	2626	0.071972581873572
"immobilis_072"	"E"	174	9	183	"restricted"	2591	0.0706291007333076
"immobilis_073"	"E"	181	8	189	"restricted"	2774	0.0681326604181687
"immobilis_074"	"E"	187	9	196	"restricted"	2761	0.0709887721839913
"immobilis_075"	"E"	171	10	181	"restricted"	2708	0.0668389955686854
"immobilis_076"	"E"	188	5	193	"restricted"	2612	0.0738897396630934
"jeotgali_027"	"E"	177	7	184	"flexible"	2618	0.0702826585179526
"luti_022"	"E"	178	6	184	"restricted"	2431	0.0756890168654875
"lutiphocae_013"	"E"	181	10	191	"flexible"	2582	0.0739736638264911
"marincola_014"	"E"	204	7	211	"restricted"	2526	0.0835312747426762
"maritimus_015"	"E"	182	8	190	"flexible"	2591	0.0733307603241991
"maritimus_028"	"E"	183	5	188	"flexible"	2594	0.0724749421742483
"namhaensis_029"	"E"	169	4	173	"restricted"	2451	0.0705834353325173
"nivimaris_030"	"E"	191	6	197	"restricted"	2809	0.0701317194731221
"oceani_047"	"E"	168	8	176	"flexible"	2513	0.0700358137684043
"okhotskensis_031"	"E"	178	9	187	"restricted"	2830	0.0660777385159011
"okhotskensis_080"	"E"	178	8	186	"restricted"	2832	0.0656779661016949
"pacificensis_032"	"E"	172	9	181	"flexible"	2737	0.0661308001461454
"phenylpyruvicus_090"	"E"	169	7	176	"flexible"	2721	0.0646821021683205
"piscatorii_048"	"E"	204	11	215	"flexible"	2961	0.0726106045254981
"priscuii_086"	"E"	195	5	200	"flexible"	2528	0.0791139240506329
"proteolyticus_016"	"E"	195	7	202	"restricted"	2503	0.080703156212545
"pulmonis_088"	"E"	173	3	176	"flexible"	2445	0.0719836400817996
"pulmonis_089"	"E"	194	8	202	"flexible"	2864	0.0705307262569832
"salsus_033"	"E"	166	4	170	"restricted"	2417	0.0703351261894911
"sanguinis_017"	"E"	170	9	179	"flexible"	2483	0.07209021345147
"sanguinis_091"	"E"	177	8	185	"flexible"	2574	0.0718725718725719
"sanguinis_092"	"E"	179	8	187	"flexible"	2639	0.0708601743084502
"sanguinis_093"	"E"	179	10	189	"flexible"	2564	0.0737129485179407
"sp1044_082"	"E"	191	7	198	"restricted"	2798	0.0707648320228735
"sp2ps_018"	"E"	197	12	209	"restricted"	2800	0.0746428571428571
"spCMS30_034"	"E"	182	8	190	"flexible"	2604	0.0729646697388633
"spDD43_036"	"E"	194	4	198	"restricted"	2513	0.0787902904894548
"spH71_040"	"E"	181	14	195	"flexible"	2612	0.0746554364471669
"spH81_042"	"E"	189	7	196	"restricted"	2832	0.0692090395480226
"spHII4_041"	"E"	170	4	174	"flexible"	2717	0.0640412219359588
"spIAM12030_053"	"E"	188	5	193	"restricted"	2669	0.0723117272386662
"spJCM18900_049"	"E"	210	10	220	"restricted"	2671	0.082366154998128
"spJCM18902_051"	"E"	190	8	198	"restricted"	2721	0.0727673649393605
"spJCM18903_052"	"E"	196	8	204	"restricted"	2871	0.071055381400209
"spNC44_083"	"E"	187	9	196	"restricted"	2689	0.0728895500185943
"spPi21_038"	"E"	189	7	196	"restricted"	2591	0.0756464685449633
"spPi251_037"	"E"	207	9	216	"restricted"	2736	0.0789473684210526
"spPi252_039"	"E"	191	8	199	"restricted"	2671	0.0745039311119431
"submarinus_043"	"E"	174	5	179	"restricted"	2555	0.0700587084148728
"urativorans_019"	"E"	201	11	212	"restricted"	2811	0.0754180007114906
"urativorans_084"	"E"	157	4	161	"restricted"	2276	0.0707381370826011
"vallis_020"	"E"	189	9	198	"restricted"	2678	0.0739357729648992
"adeliensis_001"	"F"	73	4	77	"restricted"	2572	0.0299377916018663
"aestuarii_044"	"F"	59	4	63	"flexible"	2353	0.026774330641734
"alimentarius_002"	"F"	61	4	65	"restricted"	2806	0.0231646471846044
"alimentarius_024"	"F"	59	4	63	"restricted"	2795	0.0225402504472272
"aquaticus_003"	"F"	61	4	65	"restricted"	2698	0.0240919199406968
"aquimaris_025"	"F"	71	5	76	"restricted"	2937	0.0258767449778686
"arcticus_004"	"F"	54	5	59	"restricted"	2165	0.0272517321016166
"arenosus_005"	"F"	72	6	78	"flexible"	2930	0.0266211604095563
"celer_006"	"F"	59	4	63	"flexible"	2477	0.0254339927331449
"cibarius_007"	"F"	65	5	70	"restricted"	2653	0.0263852242744063
"cibarius_026"	"F"	67	5	72	"restricted"	2973	0.024217961654894
"ciconiae_008"	"F"	65	6	71	"flexible"	2167	0.0327641901245962
"cryohalolentis_009"	"F"	71	6	77	"restricted"	2493	0.0308864821500201
"faecalis_023"	"F"	69	5	74	"flexible"	2677	0.0276428838251774
"faecalis_087"	"F"	68	5	73	"flexible"	2548	0.0286499215070644
"fjordensis_054"	"F"	69	4	73	"restricted"	2796	0.0261087267525036
"fozii_021"	"F"	76	4	80	"flexible"	2846	0.028109627547435
"frigidicola_010"	"F"	73	7	80	"restricted"	2385	0.0335429769392034
"frigidicola_056"	"F"	71	6	77	"restricted"	2327	0.0330898152127202
"fulvigenes_045"	"F"	65	6	71	"flexible"	2995	0.0237061769616027
"glaciei_055"	"F"	61	4	65	"restricted"	2772	0.0234487734487734
"glacincola_011"	"F"	76	6	82	"restricted"	2645	0.0310018903591682
"glacincola_057"	"F"	70	6	76	"restricted"	2878	0.0264072272411397
"immobilis_012"	"F"	71	5	76	"restricted"	2676	0.0284005979073244
"immobilis_058"	"F"	61	5	66	"restricted"	2978	0.0221625251846877
"immobilis_059"	"F"	66	5	71	"restricted"	2914	0.0243651338366507
"immobilis_060"	"F"	73	4	77	"restricted"	2664	0.0289039039039039
"immobilis_061"	"F"	66	5	71	"restricted"	2889	0.0245759778470059
"immobilis_062"	"F"	71	4	75	"restricted"	2607	0.0287686996547756
"immobilis_063"	"F"	61	5	66	"restricted"	2914	0.0226492793411119
